Value,HRUCODE,HRUDESC,FRAC
4830,6420,Dev_Pervious-C-High-All,0.961344761
4830,7400,Dev_Septics-C-All-All,0.001974157
4831,7400,Dev_Septics-C-All-All,0.008672124
4831,9422,Pasture-C-High-2,0.693929513
4831,10421,Open_Space-C-High-1,0.297398363
4832,10111,Open_Space-A+-Low-1,1
4833,7400,Dev_Septics-C-All-All,0.008672124
4833,9422,Pasture-C-High-2,0.693929513
4833,10421,Open_Space-C-High-1,0.297398363
4834,2000,Dev_Industrial-All-All-All,0.830238903
4834,6110,Dev_Pervious-A+-Low-All,0.169761097
4835,11111,Forest-A+-Low-1,1
4836,7400,Dev_Septics-C-All-All,0.002049328
4836,10421,Open_Space-C-High-1,0.997950672
4837,7400,Dev_Septics-C-All-All,0.005114987
4837,12421,Road_Rural-C-High-1,0.994885013
4838,7400,Dev_Septics-C-All-All,0.009760144
4838,9411,Pasture-C-Low-1,0.990239856
4839,7400,Dev_Septics-C-All-All,0.009760144
4839,9411,Pasture-C-Low-1,0.990239856
4840,11111,Forest-A+-Low-1,1
4841,7400,Dev_Septics-C-All-All,0.002049328
4841,11421,Forest-C-High-1,0.997950672
4842,7400,Dev_Septics-C-All-All,0.002049328
4842,9421,Pasture-C-High-1,0.693527204
4842,10421,Open_Space-C-High-1,0.304423468
4843,5003,Dev_Road-All-All-3,0.846049356
4843,6110,Dev_Pervious-A+-Low-All,0.153950644
4844,10111,Open_Space-A+-Low-1,1
4845,4001,Dev_Roof-All-All-1,0.638793928
4845,6410,Dev_Pervious-C-Low-All,0.359854707
4845,7400,Dev_Septics-C-All-All,0.001351366
4846,7400,Dev_Septics-C-All-All,0.002049328
4846,9421,Pasture-C-High-1,0.693527204
4846,10421,Open_Space-C-High-1,0.304423468
4847,4001,Dev_Roof-All-All-1,0.830238903
4847,6110,Dev_Pervious-A+-Low-All,0.169761097
4848,14000,Water-All-All-All,1
4849,7400,Dev_Septics-C-All-All,0.005114987
4849,10421,Open_Space-C-High-1,0.994885013
4850,4001,Dev_Roof-All-All-1,0.171994032
4850,4002,Dev_Roof-All-All-2,0.171994032
4850,4003,Dev_Roof-All-All-3,0.171994032
4850,6110,Dev_Pervious-A+-Low-All,0.484017905
4851,3000,Dev_Residential-All-All-All,0.515982095
4851,6110,Dev_Pervious-A+-Low-All,0.484017905
4852,4001,Dev_Roof-All-All-1,0.02720157
4852,6420,Dev_Pervious-C-High-All,0.962991513
4852,7400,Dev_Septics-C-All-All,0.009806917
4853,4001,Dev_Roof-All-All-1,0.833807465
4853,6110,Dev_Pervious-A+-Low-All,0.166192535
4854,4001,Dev_Roof-All-All-1,0.515982095
4854,6110,Dev_Pervious-A+-Low-All,0.484017905
4855,4001,Dev_Roof-All-All-1,0.146074931
4855,6220,Dev_Pervious-A-High-All,0.853925069
4856,10311,Open_Space-B-Low-1,1
4857,5001,Dev_Road-All-All-1,0.814233246
4857,6310,Dev_Pervious-B-Low-All,0.185766754
4858,7400,Dev_Septics-C-All-All,0.007836939
4858,9411,Pasture-C-Low-1,0.992163061
4859,7400,Dev_Septics-C-All-All,0.002049328
4859,11421,Forest-C-High-1,0.997950672
4860,7400,Dev_Septics-C-All-All,0.002049328
4860,11421,Forest-C-High-1,0.997950672
4861,7400,Dev_Septics-C-All-All,0.007836939
4861,9411,Pasture-C-Low-1,0.992163061
4862,4002,Dev_Roof-All-All-2,0.041511945
4862,4003,Dev_Roof-All-All-3,0.788726958
4862,6110,Dev_Pervious-A+-Low-All,0.169761097
4863,7400,Dev_Septics-C-All-All,0.016561205
4863,9421,Pasture-C-High-1,0.983438795
4864,3000,Dev_Residential-All-All-All,0.508857392
4864,6110,Dev_Pervious-A+-Low-All,0.491142608
4865,5002,Dev_Road-All-All-2,0.835678875
4865,6110,Dev_Pervious-A+-Low-All,0.164321125
4866,5005,Dev_Road-All-All-5,0.847735155
4866,6410,Dev_Pervious-C-Low-All,0.152264845
4867,10411,Open_Space-C-Low-1,1
